sentiment,review
Positive,Njan mathram aano sunny chechiyee kaanan vannath  Sunny chechi uyir
Negative,Kanda pandikal motham undallo...koottathil loka pandi  jaiyum
Negative,Hacking likes um Views um koottan nokiyitt moonjipoya mammootti fans evdede.. Oru Maryadhayoke Vendedey
Negative,Itha pattacharayam pidikan varunnu.. Avan Madhura raja.. pazheya Gund kadha thanne scene mariyapol inganoke ayi
Positive,Ith oru varavaan manass ippolum balyamaan ikkaaa ningal poliyaan
Negative,Dislike cheytha ellaa poorimakkalkum naduviral namaskaram
Positive,Last 8 sec ufff injaathi ikka ingal poliyatta
Positive,Katta waiting..... Maamokkaaaa.... Lalettan fanaanellumm..... Mammokkayeyum ishtaaaannnuuu..... Luv u mammookkaa
Negative,Eee padam ettu nilayil moonchum
Negative,Trending list le polum ella ....
Negative,Yethanu trailer trendigil varaathath vaishaketta nigal kaanunille
Negative,Ethakayo pundakal e myre eragiyal Lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu
Negative,Dislike um kurayunnu..23k ninnu 13k aayi...appo ee chettatharam kanichathu aaru ennu parayendelloo
Negative,Trailer pora..Oru pathu kollam mumbulla tamil cinemade trailer polund
Negative,Padam poliyum ennu urappayi. Rajadhi Raja enna thara padam pole.
Positive,Ikkada adutha 100kodi ikka marana Mass
Positive,ikkaaa vere leval anuu ....  i m waitingg for madhura raja
Positive,Pulimuruganile pole Climax il nala kidukachi fight und en urapa.
Positive,Peranbinu shesham raja 2 diffrence character mamookaada ഇതാടാ നടൻ ഇതവണമട  നടൻ  mamooka
Negative,Ethu pulimuruganaano  Ha ha ha .....
Positive,Mammooka Mass  gopi  sunder kidu  bgm
Positive,Vyshaketta... Oru prayam aya manushyane vacha ningal Troy model idi cheyikunne... Ningalode angeru chodikum... Just kidding.. Item mass
Positive,I lik both lalettan and ikka  madhuraja kollam gud ishtyi trailer but lucifer vere level tanne anu
Negative,Report adikkunna lallunnikalle pokkooo vella panni eduth jeebikkedaaa
Positive,Uyir aanu ikka.Lokathile yettavum sundharanaaya muthachan
Positive,Mammukka oru rakshayumilla. Mammukka mass ....
Positive,Pulimurukente director
Negative,Chettatharam kanich... App upayogich dislike adichavarod
Positive,Zee Music South Channelinnu erakkiya mathiyayirunnu.... Sunny Chechide paatu irakkumbol engilum 🤗🤗🤗
Positive,Nge...like kuranjo???..autolikes 3g.. anyway trailer heavy
Positive,ikkaude MADHURARAJAKKU  VIJAY FANS KANJIRAPPALLY UDE ELLA AASHAMSAKALUM
Positive,Mammukka ishttam  padam pwlikkane .....!!!! Bzlee nammude mammukka pwlichu daa
Negative,Trailer kandittu film pottum 100 %.
Positive,Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn
Positive,Look kandappol surajettan serios anenna thoniyath angeru polya pand behalam vechu comedy kanikkum ippo silentay kanikkum
Positive,Ithu oru onnonnara movie aaanu mone
Positive,Sooragetta poolichutoo last dialogue epic
Positive,Suraj ettan vere level...  1:01  Soubin ikka pwolikkum 0:33
Positive,Eee muvie supperb aavumnnu urappullavar like hear
Positive,Lalettan paranjakond vannu kandu istappettu like adichu pokunnu
Negative,Title il Suraj ettante peru vekkaathath moshaayipoyi..
Positive,Last dialogue.... oru rakshem illla... .... Asoooya verum asoooya.... Sontham naadine vittukodukunna kali illa enth vannalm...
Positive,Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing
Positive,Ithe kandirikkum enn ullvar like itte pokko 🤨
Positive,Kollam Nalla oru padam veendum ..varunnu enn thonnunnu
Negative,Comedy cheyan Oru prethaka kazhivu vennam athu surajinu ilaaa. Full chali aytaanu thonnanee
Positive,Vikruthiyude vijayathinu shesham veendum prekshakare akamshayilakkikond adutha padam Android Kunjappan..Awaiting 🥰🥰🥰
Positive,Padam vijayikkum  S&S COMBINATION WITH ROBOT
Positive,Adaaru item. Hooror movie feel. Haha. Jappaanee nee theernnadaaaa....  Petrol ozhichu kathikkum.  Poli Poli Poli.... 🤩🤩🤪🤪
Positive,Surajettan &  soubinkka   powli combo
Positive,Powlii powlii...last dialogue comedy anenkilu kidlm tyming
Positive,Ithokka Malayalam cinemayk maathram avakashapedan pattunna cinemakal aan
Positive,Katta Waiting..... Suraj Ettanteyum Saubin Sahirinteyum... Vere Level Comady Film Aaavaam
Positive,Nice ... Varampo kaanam engana nu ....
Positive,Movie adipoli.. aju varghese my fav
Positive,innanu movie kandathu.....kidu nnu paranjal pora......kidilokkidilam
Positive,Super Cinema... Really a thriller movie... Kanditt sahikyilla... Sangalpikyaan koodi Vayya anganoru avastha .... Kidilan movie
Positive,Aju chettan polikkum nna thonnane
Positive,Poster kanditt feel good anenn karuthi kanathe vitu
Positive,Trailer 50il kooduthal thavana kandath njan maathramaano Anna ben vineeth yettan izhtam
Positive,Costumes Irshad khan Cherukunnuijj Poli mutheeee
Positive,Vineeth sreenivasan Chetante cinema aano...nkil padam kiduvarikkum
Positive,Katta waiting..anna ye kaanan kothiyakunnu kumbalangy nights pwoli love you...
Positive,Pworich kurach kalangalaayi ijjathi padem Tamil mathram aannu kandirunnath .eni malayalathilum kannaan ulla bhagyem Ind .Poli Poli poli
Positive,Ee idaik irangiyathil  best trailer in Malayalam movie
Positive,ADIPOLLI  STOREY AJU*. *IKKA  MASS
Positive,Ente Peru Chodikkaathe eduthathil paribhavamilla ketto..  Cinema super aanenn trailer kandappol thanne manassilaayii
Positive,Padam hit ahnu.. kaaranam ithinte producer Vineethettan aanu
Positive,Kanditt nalla quality olla padam aann thonnunnud
Positive,Janapriya Nayakante Pakka Family Entertainer Superb Trailer
Positive,Trailer pwoli ............... .25
Positive,Mamangam Vismayathinu 5 naalukal mathram Katta waiting
Positive,Namude swantham mammookkayk lalettan fansinte vaka asamsakal..mamangam nalloru thirich varav sammanikatte.. trailer kidukiyitund
Positive,Oru 30 pravashyamenkilum kandirikkum trailer  9 days to go for mamangam On dec 12
Positive,Dec 12 onn akan etra nalay waiting anu
Positive,Ikkaaaaa katta waiting.. Ini kurach nal koodi
Positive,Katta mammokka fans like buttonil power kanikku Trailer polichu
Positive,Mamangathine  Ajaygopal  fansinde vijayasamsakal.
Positive,Luccifer trailerinu 10 millionilethicha. Editarmaarile pon sooryan
Positive,5 millionilekk kuthikkunna makankam trailerinu ellavidha bhavukangalum nerunnu
Positive,4 million +  Adichu polikada makkale
Positive,Padam iragan eni thivasagal mathram katta waiting
Positive,Indian cinimayil mamankathe vellan anoruttan Vere janikanam
Positive,Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum
Positive,Ikka vera level... ithu 500 cr kerum100%sure
Positive,Ee maha avataratte nerkku ner illadakkan marakkar padu pedolo ishwaraa..  1:17 bgm
Positive,Aadyayitta oru comment vidune video kandaal aarum onnu comment ittupovum
Positive,Padam industry hit aakatte ennu oru Lalettan Fan
Positive,December 12   ikka Katta Waiting ikka
Positive,Prayam koodundorum soundaryam koodunna ore oraal.. Mammookka
Positive,Keep going mammukka....  katta waiting...
Positive,Padam vere level aaavum.... Mammulaaaal fanz
Positive,Trailer kandit manassilayeele eth vere level aan makkale
Positive,Ejjaathi hardwork mammookka!!! Katta waiting padam onnu kaanan aayit
Positive,Enna oru feel olla trailer
Positive,Oru mohanlal fan aaya njan   katta wait cheithu irikuna mamooty de filim...
Positive,katta waiting mamangam njanum undakum November 21
Positive,Mamangam malayalam industriyude oru gem aay marum urapp
Positive,Kalam ethra poyallum charithra purushanmare prathinithikarikkan angh kazhiyunnundallo mammooka
Positive,Ithupole oru trailer iniyundakumennu thonunnilla. Superb
Positive,Mamangam marana mass akum allathe pinne
Positive,Sathykatha anthannu vacha kandittu angottu mathivarunnilla
Positive,Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa
Positive,Onnum parayanilla mammukkakkum ee teaminte ellavarkkum All the best
Positive,ethra thavana kandaalum veeryam koodunna kolakolli item
Positive,Ufffffff ichayaaa pwolich ur die hard fan 4 ever
Positive,Telugu film pole masss  trailer
Positive,nthayalum firstday firstshow urappichu kore naalayi malayalathil immathiri action padam erangittt kandkalayam
Positive,Katta waiting aliyoo njanga malayalikalkkum nddaa mass padangal
Positive,Venda kutta uruttam last dialogue polii....
Negative,enthu oola trailer aanu ithu. poor dialogue delivery
Negative,Diriection mosamanu ennoru thonnal.. oru feel varunnilla
Positive,Oru dubbing padathinte trailer pole.  kidu
Positive,‍ Venda kutta uruttam  Aaah pwoli Background music
Negative,Tovino machane fight scene poratto... eniyum valaraan undu
Positive,Ichyaaaa polich nanum indu ee moviel kalki 🤩
Positive,Ente jeevante jeevanaya ichayoiii niga muthanu kalkkiyeee kalkki
Positive,Pwoli.. Keralathil kittiyillel telugil um hope ind
Positive,feel good kand maduthavarkkaayitha ichayante  mass masala padam
Positive,Kidukachi ene parja pora athukum mele  tovi ichaya🤩🤩
Positive,Tovinho fans like അടി..... tovinho പൊളിച്ചു
Positive,Eth oru onnonnara padam aavum enn urappullavar like adi
Positive,Oru reksheyum illa kandittu oru tamil padam feelings
Positive,Action film kaddittu kurrachu kallam ayyi
Positive,Heavy mass        പൊളി
Negative,Adutha vishunu aduthu vekkam .... Assal padakkam aavum
Negative,Samyuktha vendayirunnu. :(  Aishu pwoli ann
Positive,Super star aakan pattiya aaal.  Tovi the mass
Positive,Ichaayn masss alaaa marana masss anuuuu polwiii
Positive,Ichayan pakkaa massdaaa I love tovino
Positive,Kalki Kalakki Achayane innu Mannarkadinnu kande ollu...appo ithreyum pradheeshichilla
Positive,Chilapo Tovino nu Superstar Pathavi Nedi kodukaan pokunna chithram
Positive,Oru kidillan thriller movie ennu urappichu...  katta waiting Kalkki
Positive,August 8 ee padam powder powdered avum yennu vecha podi podikkkunn i am writing kalki
Positive,Fight vere level teateril paper kure keerendi varum ichayoooo
Positive,Toveee...... ichayo... trailer kandu aaake excitement adichu irikkuva...film ethrayum vegham theater lu ethiyengil
Positive,Ichayan kasari. Kiduki. Porich. Njgal tcr karude swagraya ahagaram
Positive,Singam model oru kidilan action movie aakatte.....
Positive,Ini idikanda.. urutam.. athu box officenodanu
Positive,Yejjathi padam ith polikkum ichayante ingane ulla oru padathinumvendiyan ithuvare kathirunnath....... kalki.... ith polikkkum
Positive,1:52 mass level  Fdfs urappichavar like adikku
Positive,Achaayaan poliyaatto...   kolamaasss Kalki 🥰
Negative,ഇവിടെ telug padangal vevoola mr Twolinjo..
Negative,poraa pratheeksha illa.. Tovi voice rendering sradhichitilla..... camera
Positive,Oru singam mmayam..  pwoli trailer
Positive,Venda kutaaa... Urutaaam.....  Tovino ishtam🥰 Katta waiting
Positive,Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power
Positive,Machan pandey pwoli aanenn boni parayan paranju🥰
Positive,Poli tovi Chetta oru rakshayum illa marana mass
Positive,Aettanta padathin ikka fansnte ashamsakal 🤗🤗🤗
Positive,tamilnattilum No1 trending aaya first malayalam trailer..!#lalswag
Negative,Romanjamadichu pandaaradangi... Ee dislike adicha pithru shoonyanmaar ivide okke undaakanam...
Positive,tovino mass avum ennu urappullavar ivade come on
Positive,Onnum parayaanilla.....kaathirikkunnu Lucifer ney kaanaan!!! Prithvirajj polichuttooo...iniyum porattey cinemakal....Muralii...ingalu muthaanu...
Positive,Ufffff.  Pwoli lalattaa... Katta waiting
Positive,Ithano aa cheriya movie  pattikallae
Negative,23 k  unlike   hehe   idum  kanji  tanne
Positive,Ithe namma jayikkan mathram kalikana kaliyaaaaa
Positive,Vedikettu...ee vecation Lucifer kondupoyi makkale....Lalettan & Rajuettan ....
Negative,Dileepettan muthanu ningal lalettan fansanenkil nallathu paranjo kazhapamilla athinu dileepettan undakandataaa
Positive,10 ൽ കൂടുതൽ ഈ trailer kandavar ivide varoonjhaan 16 aayi
Positive,Romancham vanna trailer... and ...lalettante..Vaadaa...!!!.... ith pwolikkum.....
Positive,Onnum parayanila. ..nte ponno ...katta waiting March 28
Positive,Ithoru nalla trailer aanenn aarum parayum ennitum dislike sammathikkanam... Mass +class
Negative,Unlike adicha mammunni fansinu irikkatte oru kuthirapavan
Positive,Oru reksham ella masss atra parayan epol patuuuuuuu laletan polychu
Positive,rajuvettan marana mass .....laletan kola mass
Positive,Athra thavana kanditum madip thonunile oru rekshym ile super
Positive,Raju ettan nde films il kaanan pettuna athe cinematography eee trailer il kaanan sathikunnu....
Negative,Ini ore vijayiyum keralathil vanne negalikkan padilla
Positive,#trnding 1 എന്ന് കണ്ടു സന്തോഷായി   From an ikka fan  Rajuettn lalleettn  Adarru combo
Negative,adhyam 9 polinju 8 nilayil ini next ithum poliyum 9 nilayil
Positive,THIS DEAL WITH DEVIL ITH ORU POLI POLIKKUM
Positive,Madhuraraja ye kaal valara mikacha quality feel cheyyunnu.  A Mammookka fan.
Positive,Laletta ingal vere leval annu Waiting #L
Negative,Sudapikalkku kurupotti aa dislikes kanda . A Hollywood level work
Negative,Ithu award padam aano full slow aanallo
Positive,Mass kolla mass etra vattam kandu enne areyella .
Negative,Ee haters vann dislike adichalum 240k like und makkale..
Positive,Direction maarakam prituiraaj nee tanne cheytathaano atho ariyunnavare kondu cheyyichathaano aaraayaalum massayittundu Well job man
Positive,Innale rathri 10manikk nokiyappol 200k views ippoyathaa 2m views... Trailer Pwolichu... Lalettan-Prithvi Combo  Padam 150+cr nedumennurappullavar like adiii
Negative,22K   Dislike enthuttta pattiye ¥ SuPpER teaser
Negative,shuger raja fance onnu virachu alle.ithokke endh varan pokunnathanu mone pooram
Negative,Eathu nayinte makkal avao dislike adiche
Positive,Laletta inghal pande vera level aah...pande nenjil kond nadakunaathaa ente swantham lalettaneLub uh laletta
Positive,Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam
Positive,Raju ettaaaa ningal Vera level
Positive,ITHU ORU ONN ONNARA ITEM AANEEE
Negative,Dislike adicha mamookante  fanse odu myrukale
Positive,Mass enn paranjal pora... Marana mass
Negative,Dislike adicha pullanmarude mugathulla adiyavatte oro likum
Negative,Bgm poaRaaa.... Goapi aanel maanthittaanelum Bgm GoosebumpS aakkum
Positive,Katta waiting  Lalettan  Rajuettan polichu heavy  Entha oru feel
Positive,Ithu vere level trailer aanu Mone....
Negative,ലാലേട്ടൻ പ്രിത്വിരാജ്   22K dislike vannenkil urapicho arkokkeyo kuru pottiyitund...  padam sure hit...
Positive,1:51 ....VAADA ...aa oru otta shot mathi
Positive,malayalam film industry ile etavum stylishaayitulla trailer.. LUSIFER
Positive,Love From #Mamookka Fan..Ee padam pwolikkum..#Katta_waiting..Rajuvetta Enta Romam okke enittu ninnu breakdance kalikunnu..
Positive,Edak... Edak vanu trailer nokkunnavar.... Arokke....? Lalettan PrithviTovi  Istttam
Positive,LALETTAAA POLICHU  100 CR KOYYUM
Positive,Mohanlal fans like here .... Ettan maaasss aanu
Positive,Addi poolliiii..odiyanna  kaall ushirooodukudiii  LUCIFER..MARANAA  MASSSSS
Positive,Nte ponno oru raksha Illa Ennaaa Trailer
Positive,Kandittum kandittum madhiyaavunnillallo deyvame.....Ente laletta ningal star alla oru GALAXY aanu
Positive,Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan
Positive,Ravle 7.30.k eneete pade repeat adich kanunnavark othukoodanulla sthalam
Positive,padam hit.....pani ariyavunnavar film pidichal trailer kandalum goosebumps varum
Positive,Nammude prithvi amgane veruthe onnum direct cheyillalloo... Lalettante kure nallukalyi irangunnathil aattavum nalla movie....
Positive,Ejjathi ..  Item.... Lalettanum fansum pwolikmmmmm
Positive,iyalith verthe parayuvaan puthumukha samvidhayakan aanenn
Positive,Etta...... Sherikm super🤝ntha parayuka...  Oru rekshem illa.. Adipoli... Katta wyting
Positive,Raju etta ningal Malayala cinema ye Vere Level Aaakum Alle
Positive,Ettaaaa kandalum kandalum mathi varunnillaaaaaa poli anu kettooooo
Negative,Pandi rajaye malarthi adichu athanu lal magic
Positive,Enna parayan eneet ninnu thoyth povum
Positive,Ithu njan 10il kooduthal  kandu
Positive,Kidilan....... Lalettan  pritvi
Positive,Trailer nannayutu untu valthukkal mokanlol Sir and fans
Negative,Edo thallu menone direction padikanonkil rajuvetante aduthu chenna enganeyanennu padipichu tharum ?
Positive,Lalettan kidu Raju Etta super trailer
Positive,All the best lalletta  oru katta Messi & ikka fan
Positive,28 lucifer release ente bday pwoli
Positive,Randennam adichitt kaanumbo waav........ Sooooooooperb trailer.... Lucifer le L neengumbo....   Ennaaa oru paranjariyikkaan pattaathathra aimaaaaaaaa....
Negative,Mohanlal=manju Manju=mohanlal  #manju kanji kodukendi verumo??  Lalletta aduttha filmilengilum nadiye mattane plzzz.. Illengil kanji orappa!
Positive,I love Lalettan and prithviraj...prithviraj always admired him.. Ithu polikkum.. Alla pinna...
Positive,vaada a otta vili athu mathi .athu maathram mathi
Positive,Paayunna KL T 666 il avan varunnu
Negative,Enthanavo manju warier kanumbol oru deshyam
Positive,onnil kooduthal thavana trailer kandavar pls like here
Positive,Njan oru lalettan fan allengilum trailer kandappo...ee film kalakkum orappa....mega super hit aagum....urappe..
Negative,Ithinekkal valiya romanjifickation trilor aaaayirunnu villan ...ennitto padam 8L pottii idum anginethanneyaavum ....laletta ingalu maaarikkoluuu pillleru kalikkette
Negative,Sho.... Naatil vechu padam kaanan pattilla ennu orkumbol....
Positive,Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu
Positive,Katta pretheekshaaa....... Luv u alla ...
Positive,Its wanaah great¥€¥ polichu laalettan chankanu chankidippanu lalettaan
Negative,Enna padam ethillum high irakiya villian potti palisayi pinna ithe
Positive,Ith polikun Nighal ath parayunnu Polikumo illayo Polikum akil like cheyu
Negative,Oru kaaryam manasilaayee..paandi rajayum 30 crore nedillaa
Positive,Annum inum ee manilla natturajavuu lalettan matram ettan ishtam
Positive,MURALI GOPI NINGALUDE DIALOGUE PWOLIYAANU. ..MWTHE
Positive,Epo madhura Raja trailer kande ollu ethu kandappo tharichu poyi. Ettan effect
Positive,Abhinayathinde manarisam thiricharinja mahanadana vaibhsvam mohanlal enna MALAYALIYUDE oru sokharya sambhavamanu ennum eppozhum All friends congratulation
Positive,Lucifer fdfs pokunnu lalettante White n white lookil
Positive,Padam motham twistukal aayirikkumennathil samshayamilla
Positive,Ejjati item ettan pwolikkum all the best raju etta
Positive,10 l kudutal tavane kandavar arokke und
Positive,Erian ariyunnavante kayile daivam vadi kodukku hatts of rajuvettan istam
Positive,Kuduthal thavaana kanannu thunnuna padam annu oru rakshayum illa polliwchu
Positive,kanunnathin  anusarich veendum veendum kanan thonnunu
Negative,Adutha oru vedimarunnu ready ayitundu...eppo pottikanam ennu paranja mathi....lalunni fans and pottan  fans undo evide?
Positive,Ntammoooo enna lookka nte Etta  Immathiri oru trailer pretheekshichilla.... Kikkiduuu
Negative,Dislike adicha thaayolikale adikendavark like cheyyanulla comment
Positive,Malayalathinte swandham lalettanu  all kerala dulquar salman fansinte vijayasamshagal
Positive,Njan laletten fananu ...  pakshe trailer kandu romam enittu nikkinnu
Positive,In 2 days 5 million views Adi makkale like Mammmootty Prayam koodunthorum Cheruppamagunna Logathile ore oru humannn
Negative,Eth kandit nere poi pulimurugante trailerum onn kandek 2 ilum enthelum vethyasom undo?
Positive,Njan lalettan fan aaanu Enthayalum mammukkaa polikkatte  വിജയാശംസകൾ
Positive,Sunny chechinte song kelkkan waiting
Positive,Namude ikkakum Rajakum suriya fansinte Ashamsakal
Negative,Fake liker pidichu ikka oombi
Negative,191 k likes 118 aayallo.. ithenthu marimayaam ...lalapikkal ude kali aano
Positive,Muppathil kooduthal thavana kanda njanalle sherikkum mess
Negative,Ijjadi mass sadanam ഇക്ക നിങ്ങ poliyaan inippo kurupottichond കൊറേ mairanmar വരും
Positive,Trailer ishtapettavarkku ivide vannu like adichittu pokam
Negative,Thallu vidunna moopanu pakaram appan  Daddy girija  Peter hein fight ( parannadi) Pulikk pakaram patti  Pinne mainayum same costume (Anushree)  .
Positive,Trailer Kandal ariyam super hit aakum
Positive,Veendum veendum Vann kaanunnath njan maathramaano
Positive,Ichaakkaa.. Pwolichu tto   All the best mammookka   By  lalettan fan
Positive,Njan lalettan mammokka randu perudeyum fan anu   Randupereyum orupole ishtom anu    Avar keralathinte muthaanu
Positive,Verum mass alla kola mass raja daa
Positive,Rajayum rajede pillarum stonga tripple strong
Negative,Poraaaa.. Luciferne tholpikkan ulla mass onnum illaaa..
Positive,ithu tanda mammoty. late aayi vandhalum latest  aayi vanthiduve da
Positive,Eee trailer njan ethra pravishyam nokiyann enikku ariyilla ningalum ingane tanneyanu ikka isttam
Positive,Keralathinteyom madhurayodeyom Raja nammode swantham ikka
Positive,Madhura raja polikkumm  Sinan ek college of Commerce
Positive,Raja  come back katta waiting
Positive,Yetra ayalum lucifer ne tholppikan kayila.. Ettan uyir
Positive,1:38 enikkathu inganaaa kelkkunne.. mammoookkkaaaaaaaaaaaaaaaaaaaaaaaaaaa romanjification
Positive,Kandu njan kandu sunny chechiye njan kandu
Positive,Ijjathi trailer uff ponnooo.... Oru raksha illaa.. Polichuu Ithavana vishu #Madhura Raja kondu pokum enn urappullar ivide thottit poo...
Positive,Ohh mamooka kalaki...Adipoli trailer... Best Wishes from Tamil Nadu.
Positive,Raja  ellam adich toofan aakum
Positive,Ente ammoo.... Aaa super man punch undallo ...Ijjathi item.....
Positive,Raja 100cr adikkumenn urappullavar like adikk
Positive,Eeetu polikkkummmmm........ trailer polichu Enni onnu thala uyarti nadakkam........we...love  Mamookkaaa....................
Positive,edakku vannu kanukayum viewsum nokkunnathum arokke mammookka
Positive,Njan oru lalettan fan anu.. pakshe ithu polichu... ikka super
Positive,Wokinu edayilum vannu trailer kanunna arokeyund
Positive,innale 7 Mani muthal Kath Kath ninnu trailer nu vendi.....thakarppan trailer .... love you mammukkaaaaaa
Positive,Sunny chechi ullath kond cinema jayikum
Negative,feels more like a tamil telugu masalappadam.. pokkiriraja comedy aayirunnu highlight.. ithil athum illennu thonunnu... trailer nirashapeduthi...
Positive,Ith kandapo ronchaaamam Enik matram aanoo vanne
Positive,ethra trolliyaaaalum eee trailer oru sambavaaayindee
Negative,Lucifer thannee sheenam maarillaa aduthu kootheraaaaa thaaa
Negative,Annalum sunny chechiye randu shotl othukkiyallo.. kashtam tanne muthalali
Positive,Ikkayude mass perfoamnce kaanan Kothichu Etra naalayi..Waiting april 12..Raja
Positive,malayala cinima ellam hollywood level ayo oh my god
Positive,Kandappo  oru  kuliru  keri  mone🤗.  Ningalkkum  vannengil  like  here
Positive,Yessss the Lion returnzzzzz...kattaa waitingggg ikkkaaaaa
Positive,Avasanam Romante oru Superman punch
Positive,Peter hein touch kaananund fightil
Positive,Ithilude enkilum tirichu varuka lalettan fans waiting....
Negative,ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya
Positive,Ikka Ella malayalikaludeyum ahangaramaya vigaramanu . love uuuuuuuuuuuuuuuuuuuuuuuu ikkakkaa
Positive,Mass ennu paranja otta vakkeyollu ath mammookka!!!
Positive,Adipoli mass superb kidu mammootty polich ____mass aayitund trailer pakka poli
Positive,Nta ummoo oru rakshayum illa pwolich
Positive,1:23 ee shot repeat adich theatre il enganirikkum enn alojich romanjam konda etra perond
Positive,Mass trailer
Positive,1 divasam 3l kudutal tavane kanunavar arokke und
Positive,Lucifer  Lalettan polikkumm Kerala Abhimanam Lalettan
Positive,Idikkatta waiting... Othiri thanks prithvirajinu...njangalde ettane
Positive,VADAA aaa dialog vera level ane
Positive,Irangiya divasam thottu 4 um 5 I'm pravashyam an kaanunnath... Are you katta fans like me?
Positive,Ithenthaa pinnem pinnem kaanan thonnune.. Ejaathi addicted
Positive,ethipo tamizhanmarum Karnataka ap ellarum indallo laletta love u
Negative,4 Millon ayee makkale eattante pazhi paragavar thalayil mundittu trailor kandukanum
Positive,De pinneyum youtubil trending no 1
Negative,26K malaghamar dislike adichirikkunnu....Sahikkanjittanu vere onnumalla.....kashtam....dhaivathinte sontham nadu
Negative,Dae Ajithaaa copy adikathada Mohan Lal
Positive,Ithaanu oru katta aarathakante cinema
Positive,Njangalude muthanu  ingalu laletta..... Lub u Etta......
Positive,TRAILER KIDU
Positive,NEXT MASS HIT OF LALETTAN...MARANA MASS HIT
Positive,Malayalikalkk idayil evan oru para ullu ŤHé ćòMpļÈțê ÂćŤóř
Positive,Jai jai jai lalettan ki jai
Positive,മോഹൻലാൽ ഫാനൊന്നുമല്ല. But Trailer soooper.  രാജുവേട്ടന്റെ first padam hit aavatte katta waiting
Positive,Edhu kondu prethiraj neruthiyal Kollam
Positive,Super acter nammude lalettan Super hero nammude lalettan
Negative,Ithinokke dislike adichavanmare okk adichu kollanamm ettan uyirr
Negative,Dislike  Adicha Mammookka Fans  Njagade #ettante varav KaneKulirke Kandota...........................
Positive,Omg 5 Million sure anu
Positive,I love you Etta Etta fans like addi umma umma
Positive,302k likes...yeeeeeee....I will dance....kuuuu...koooo...vineethetan sound vivek oberoi...
Positive,Njan ippol tanne 15 tavane kandu kazinju kanditttu kandittum madukunilla
Positive,Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale
Positive,Raj yeta thagarthuve movie super dooper hit adichi polikam even in tamil nadu ithu nambalda movie ah hit akam
Positive,Nerathe 3M aarunnu... Ithrapettannu 4M aayooo....   ettan thaan vismayam.
Positive,Njan aarudeyum fan alla Annalum eth madurarajayekkal hit aakum orapp
Positive,Kazhinja 3varshathinidayil lalettante nalloru trailer
Negative,Madhurarajakkum oru trailer undu
Positive,Kgf movie kanda pola oru feel..... Endhayalum laleta kalakki
Positive,Njan Lalettan fan aaanu. Athukondu thanne parayua. Comment adichu Nammal odiyan aaakinmattanda. Padam kudu aaavum. Coz this is mohanlal
Positive,njan ikka fan aaan!  lalettante oru nalla thirichu varav pratheekshikunnu......rajuvettan direction super aayittund!
Negative,Yenthina aa manjvine ithilekku valichirakkiyathu aval undayathukondu padam kananulla aa thrill poyi
Positive,Mass alla maranamass alle kollamass anu lalettan
Positive,Amboooo pwoli veree levellll       Ettn ishtm
Positive,Indettante a dialogue kiduvanalle.. (Mahiravanan
Positive,Jbl headset vechu trailer kandavarundo enkil like idooo vere level
Negative,25 k dislike ivaneokke endu manushyarada? Nalladine nalladenn angikarikk
Positive,Look aayi lalettan thonni prithivi muthaanu like adi makkalee
Positive,Rajuvettandhe direction vere level aayirikkumennu trailer kandappo manasilayi...#romanjification
Positive,lalettan masssda vyara lavala athukum myaley I love you laletta..
Positive,entry istam like for lusifer lalettan
Positive,Katta waiting lalettaaaaa2' nd on trending kuwait
Positive,First show kanum enn urappullavar like adi
Positive,Hype kurakan Samthikoolla alle?   Ijjathi ittems oke irakiyal engane hype illathirikum.
Negative,Ikka fansinte 25 k dislike undallo... dislike adichittu karanjolu
Positive,Lucifer ...Rajuvettan malayalcinemakku nalkan pokunna ponthuval .....Lalettann awaiting ....For your devil lucifer
Positive,romanjification love you laletta ithu pwolikkum
Positive,Aa kurishil christinte thala odich vechekunnu... raju brilliance
Positive,Trailer kandappo thanne romaanjam limit break chiedhu....Cinima kandaal romaanjam kondu marikkum....
Positive,Heavy..Mass & Clas...cudos team Lucifer... Laalettaa ingalu Muthaanu...Double Role Aanu Makkale......
Positive,Swargatthil ninnu purathaakkappetta daivatthinte swantham maalakha polichuuuuuuu LUCIFER waitingggggg...........
Positive,Enne polle 12 vattathille kuduthalle kandavarre arune
Positive,Orroo...framintayum quality     Rajuattan magic
Positive,njaan ippo oru  83 thavana kandu
Positive,lub u lub u..... Laletta ..... L... U... C.... I... F... A.....R.
Positive,Eee padam pwolikum..... Aah വിശ്വാസം anu eee comnt
Positive,Super polich vere level  kidukki wating
